tns_name,categories,status,plot_path,interp_autocheck,filename,primary_reason,catalog_snr,usable_bandwidth_mhz,morphology_label,n_subbursts,is_repeater,orig_masked_pixel_frac,orig_masked_channel_frac,scat_time,spectral_running,num_time,total_offpulse_bins,pre_offpulse_bins,post_offpulse_bins,has_calibration,has_pulse_region,offpulse_method,noise_failed,n_usable_channels,analyst_1_notes,analyst_2_notes,reconciliation
FRB20190724A,derived_offpulse,provisionally_eligible,FRB20190724A_refqc.png,OK,FRB20190724A_stokesi_dynamic_spectrum.h5,,52.394947052,334.375,single_component,1,FALSE,0.1662543669379610,0.1640625,,,814,,,,FALSE,FALSE,derived_profile,FALSE,,"dynamic spectrum, raw and standardized looks like trash","[viewed] No clean vertical burst; strong diagonal drift/streak across the full 814-bin window; derived on-pulse at t~0, off-pulse contaminated by the streak. Interpretation unreliable.",AGREE w/ A1 'trash'. Finding F2 (derived-offpulse wide-window no-burst). Recommend WP1 scrutiny/exclusion. Not a Tier A/B bug.
FRB20190925B,high_snr;nonrepeater;single_component,eligible,FRB20190925B_refqc.png,OK,FRB20190925B_stokesi_dynamic_spectrum.h5,,571.2048736712700,314.013671875,single_component,1,FALSE,0.0766725893373843,0.2149658203125,0.0020197682976726,1.9416220218075800,162,157.0,80.0,77.0,TRUE,TRUE,pulse_emission_region,FALSE,,looks ok ,[viewed] Clean high-S/N single burst ~80ms; peak inside on-pulse; off-pulse clean; envelope preserved; masks sensible.,AGREE w/ A1 'looks ok'. Exemplary; interpretation correct.
FRB20191222A,no_calibration,provisionally_eligible,FRB20191222A_refqc.png,OK,FRB20191222A_stokesi_dynamic_spectrum.h5,,249.311403630909,292.236328125,single_component,1,FALSE,0.0386454264322916,0.2694091796875,0.0,-10.109678775133100,162,159.0,80.0,79.0,FALSE,TRUE,pulse_emission_region,FALSE,,seeing tight lines,"[viewed] Sharp clean burst ~80ms. The 'tight lines' are masked RFI channels (expected), not signal.","RECONCILED: A1 'tight lines' = RFI channel masks, normal. No issue."
FRB20200115A,broadband,provisionally_eligible,FRB20200115A_refqc.png,OK,FRB20200115A_stokesi_dynamic_spectrum.h5,,9.1378583908,385.9375,single_component,1,FALSE,0.035258675090218,0.03515625,,,814,,,,FALSE,FALSE,derived_profile,FALSE,,spectrums look weird,[viewed] Faint narrowband burst ~610MHz/410ms; derived on-pulse captured the peak. Marginal S/N(9) but interpretation OK.,PARTIAL AGREE A1 'weird': busy from RFI but a real faint burst is present and correctly located.
FRB20200116B,multi_component,eligible,FRB20200116B_refqc.png,OK,FRB20200116B_stokesi_dynamic_spectrum.h5,,241.9644573658360,299.0966796875,multi_component,9,FALSE,0.0360702703028549,0.25225830078125,0.0011814844313111,-91.34230699648570,162,119.0,64.0,55.0,TRUE,TRUE,pulse_emission_region,FALSE,,ok,[viewed] 9-component drifting burst; on-pulse spans all components; off-pulse clean; structure preserved.,AGREE A1 'ok'. Exemplary complex-burst handling.
FRB20200119E,broadband,provisionally_eligible,FRB20200119E_refqc.png,OK,FRB20200119E_stokesi_dynamic_spectrum.h5,,23.082654953,385.9375,single_component,1,FALSE,0.0362887745700245,0.03515625,,,814,,,,FALSE,FALSE,derived_profile,FALSE,,weird flat dynamic spectrum,[viewed] No clear burst in 814-bin window; RFI bands dominate; derived on-pulse picks noise.,AGREE A1 'weird flat'. Finding F2. Recommend exclusion/flag for WP1.
FRB20200417A,scattered,eligible,FRB20200417A_refqc.png,OK,FRB20200417A_stokesi_dynamic_spectrum.h5,,81.26614624292950,292.28515625,single_component,1,FALSE,0.1134435416366650,0.269287109375,1.187301080226120,-11.669120724301700,1302,637.0,637.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,weak dynamic spectrum does look scattered,"[auto+metrics] Scattered burst (scat_time~1.0), S/N 81, pulse_emission_region; auto-check OK.",AGREE A1 'scattered'. Consistent with well-captured scattered event.
FRB20200427A,near_boundary,eligible,FRB20200427A_refqc.png,OK,FRB20200427A_stokesi_dynamic_spectrum.h5,,99.80392057780510,292.041015625,multi_component,2,FALSE,0.1252166748046870,0.2698974609375,0.0,-95.79568043013680,40,28.0,13.0,15.0,TRUE,TRUE,pulse_emission_region,FALSE,,box instead of clear peak ,[viewed] Clear compact burst ~13ms (500-600MHz); on-pulse brackets it; the 'box' is on-pulse shading width (region+guard).,"RECONCILED: A1 'box' = on-pulse shading, not an error. Interpretation OK."
FRB20200701G,low_snr,eligible,FRB20200701G_refqc.png,OK,FRB20200701G_stokesi_dynamic_spectrum.h5,,5.217158480767840,308.7646484375,single_component,1,FALSE,0.097834457585841,0.22808837890625,0.0,-37.463851443455300,162,154.0,77.0,77.0,TRUE,TRUE,pulse_emission_region,FALSE,,very faint spectrums,[auto+metrics] Low S/N (5.2) faint single; pulse_emission_region; auto-check OK; expected to look faint.,"AGREE A1 'very faint'. Faintness intrinsic, not an interpretation error."
FRB20200723B,scattered,eligible,FRB20200723B_refqc.png,OK,FRB20200723B_stokesi_dynamic_spectrum.h5,,237.75852380025300,202.099609375,single_component,1,FALSE,0.2814135104646700,0.4947509765625,1.0316711389974400,-5.961359119181570,2604,1541.0,1296.0,245.0,TRUE,TRUE,pulse_emission_region,FALSE,,looks cut in half,[viewed] Textbook scattered burst: sharp rise ~1250ms + long exponential tail; on-pulse correctly covers the decay.,RECONCILED: A1 'cut in half' = long scattering tail covered by on-pulse. Correct.
