tns_name,sub_num
FRB20180814B,1
FRB20180917A,2
FRB20181019A,1
FRB20181028A,3
FRB20181030E,1
FRB20181117B,1
FRB20181118C,1
FRB20181119D,2
FRB20181125A,1
FRB20181128A,1
FRB20181128C,1
FRB20181222A,4
FRB20181222E,1
FRB20181224E,1
FRB20181226A,1
FRB20181226B,1
FRB20190104A,1
FRB20190109A,1
FRB20190111A,2
FRB20190117A,1
FRB20190122C,1
FRB20190124C,1
FRB20190131D,1
FRB20190208A,3
FRB20190213B,1
FRB20190308C,1
FRB20190411C,1
FRB20190421A,1
FRB20190422A,1
FRB20190423A,1
FRB20190501B,1
FRB20190519A,2
FRB20190519B,3
FRB20190527A,1
FRB20190601C,1
FRB20190604F,2
FRB20190605B,2
FRB20190609A,1
FRB20190611A,1
FRB20190625E,2
FRB20190630A,1
FRB20190702B,1
FRB20190715A,1
FRB20190804E,2
FRB20190805E,1
FRB20190806B,1
FRB20190806C,2
FRB20190810A,2
FRB20190810D,1
FRB20190825A,1
FRB20190825B,1
FRB20190907A,1
FRB20190912F,2
FRB20190915E,2
FRB20190929C,1
FRB20191013C,1
FRB20191016A,1
FRB20191019F,1
FRB20191023B,1
FRB20191025D,3
FRB20191105A,1
FRB20191107C,1
FRB20191110A,4
FRB20191113A,1
FRB20191213B,1
FRB20191215A,1
FRB20191217A,1
FRB20191218A,1
FRB20191219B,1
FRB20200116B,8
FRB20200116E,1
FRB20200117B,1
FRB20200118D,1
FRB20200122A,1
FRB20200122B,1
FRB20200124A,2
FRB20200125C,2
FRB20200202A,1
FRB20200204B,1
FRB20200207A,1
FRB20200210B,1
FRB20200221A,1
FRB20200225A,1
FRB20200302A,1
FRB20200302B,1
FRB20200302C,1
FRB20200313C,1
FRB20200314A,3
FRB20200315A,1
FRB20200317C,1
FRB20200318B,3
FRB20200321E,1
FRB20200401A,1
FRB20200420A,2
FRB20200427A,1
FRB20200428D,1
FRB20200429C,1
FRB20200430C,1
FRB20200513B,1
FRB20200525B,1
FRB20200603B,2
FRB20200614A,1
FRB20200615C,1
FRB20200701A,2
FRB20200706A,3
FRB20200707A,1
FRB20200729A,2
FRB20200806A,1
FRB20200820A,1
FRB20200831A,1
FRB20200905B,1
FRB20200926A,1
FRB20200929C,3
FRB20201010B,1
FRB20201014B,6
FRB20201015A,1
FRB20201018A,1
FRB20201022D,1
FRB20201023B,1
FRB20201102B,2
FRB20201114A,2
FRB20201123D,1
FRB20201124B,1
FRB20201124E,2
FRB20201206C,1
FRB20201210A,1
FRB20201215C,1
FRB20201224B,1
FRB20201225B,1
FRB20201228A,2
FRB20201229C,1
FRB20210101E,1
FRB20210105F,1
